Name	Gene(s)	Protein change	Condition(s)	Clinical significance (Last reviewed)	Review status	Accession	GRCh37Chromosome	GRCh37Location	GRCh38Chromosome	GRCh38Location	VariationID	AlleleID(s)	dbSNP ID	Canonical SPDI	
GRCh37/hg19 10q23.32-26.3(chr10:93283493-135427143)x3	ABCC2|ABLIM1|ABRAXAS2|ACADSB|ACSL5|ACSM6|ACTR1A|ADAM12|ADAM8|ADD3|ADGRA1|ADRA2A|ADRB1|AFAP1L2|ALDH18A1|ANKRD2|ARHGAP19|ARL3|ARMH3|ARMS2|AS3MT|ATE1|ATP5MK|ATRNL1|AVPI1|BAG3|BBIP1|BCCIP|BLNK|BLOC1S2|BNIP3|BORCS7|BTAF1|BTBD16|BTRC|BUB3|C10orf12|C10orf120|C10orf131|C10orf62|C10orf82|C10orf88|C10orf90|C10orf95|CACUL1|CALHM1|CALHM2|CALHM3|CALY|CASC2|CASP7|CC2D2B|CCDC172|CCDC186|CCNJ|CEP55|CFAP43|CFAP46|CFAP58|CHST15|CHUK|CLRN3|CNNM1|CNNM2|COL17A1|COX15|CPEB3|CPN1|CPXM2|CRTAC1|CTBP2|CUEDC2|CUTC|CUZD1|CWF19L1|CYP17A1|CYP26A1|CYP26C1|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2E1|DCLRE1A|DENND10|DHX32|DMBT1|DNMBP|DNTT|DOCK1|DPCD|DPYSL4|DUSP5|EBF3|ECHS1|EDRF1|EEF1AKMT2|EIF3A|ELOVL3|EMX2|EMX2OS|ENO4|ENTPD1|ENTPD7|ERLIN1|EXOC6|EXOSC1|FAM204A|FAM24A|FAM24B|FAM53B|FANK1|FBXL15|FBXW4|FFAR4|FGF8|FGFBP3|FGFR2|FHIP2A|FOXI2|FRA10AC1|FRAT1|FRAT2|FUOM|GBF1|GFRA1|GLRX3|GOLGA7B|GOT1|GPAM|GPR26|GRK5|GSTO1|GSTO2|HABP2|HELLS|HHEX|HIF1AN|HMX2|HMX3|HOGA1|HPS1|HPS6|HPSE2|HSPA12A|HTRA1|IDE|IKZF5|INA|INPP5A|INPP5F|INSYN2A|ITPRIP|JAKMIP3|KAZALD1|KCNIP2|KCNK18|KIF11|KNDC1|LBX1|LCOR|LDB1|LGI1|LHPP|LINC01166|LINC02870|LOXL4|LRRC27|LZTS2|MARCHF5|MARVELD1|MCMBP|MFSD13A|MGMT|MIR146B|MKI67|MMP21|MMS19|MORN4|MRPL43|MTG1|MXI1|MYOF|NANOS1|NDUFB8|NEURL1|NFKB2|NHLRC2|NKX1-2|NKX2-3|NKX6-2|NOC3L|NOLC1|NPM3|NPS|NRAP|NSMCE4A|NT5C2|OAT|OGA|OPALIN|PAOX|PAX2|PCGF6|PDCD11|PDCD4|PDE6C|PDLIM1|PDZD7|PDZD8|PGAM1|PI4K2A|PIK3AP1|PITX3|PKD2L1|PLCE1|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|POLL|PPP1R3C|PPP2R2D|PPRC1|PRAP1|PRDX3|PRLHR|PSD|PSTK|PTPRE|PWWP2B|PYROXD2|R3HCC1L|RAB11FIP2|RBM20|RBP4|RGS10|RRP12|SCD|SEC23IP|SEC31B|SEMA4G|SFR1|SFRP5|SFXN2|SFXN3|SFXN4|SH3PXD2A|SHOC2|SHTN1|SLC18A2|SLC25A28|SLC35G1|SLF2|SLIT1|SLK|SMC3|SMNDC1|SNORA12|SORBS1|SORCS1|SORCS3|SPRN|STK32C|STN1|SUFU|SYCE1|TACC2|TAF5|TBC1D12|TCERG1L|TCERG1L-AS1|TCF7L2|TCTN3|TDRD1|TECTB|TEX36|TIAL1|TLL2|TLX1|TLX1NB|TM9SF3|TNKS2|TRIM8|TRUB1|TUBGCP2|TWNK|UBTD1|UROS|UTF1|VAX1|VENTX|VTI1A|VWA2|WBP1L|WDR11|WNT8B|XPNPEP1|ZDHHC16|ZDHHC6|ZFYVE27|ZNF511|ZNF518A|ZRANB1		See cases	Pathogenic(Last reviewed: Jun 23, 2014)	no assertion criteria provided	VCV000443323	10	93283493 - 135427143			443323	436985		
GRCh38/hg38 10q23.33-25.3(chr10:95112607-116776637)x3	ABCC2|ABLIM1|ACSL5|ACSM6|ACTR1A|ADD3|ADD3-AS1|ADRA2A|ADRB1|AFAP1L2|ALDH18A1|ANKRD2|ARHGAP19|ARHGAP19-SLIT1|ARL3|ARMH3|AS3MT|ATP5MK|ATRNL1|AVPI1|BBIP1|BLNK|BLOC1S2|BORCS7|BORCS7-ASMT|BTRC|C10orf12|C10orf131|C10orf62|C10orf82|C10orf95|C10orf95-AS1|CALHM1|CALHM2|CALHM3|CASP7|CC2D2B|CCDC172|CCDC186|CCNJ|CFAP43|CFAP58|CFAP58-DT|CHUK|CNNM1|CNNM2|COL17A1|COX15|CPN1|CRTAC1|CUEDC2|CUTC|CWF19L1|CYP17A1|CYP17A1-AS1|DCLRE1A|DNMBP|DNMBP-AS1|DNTT|DPCD|DUSP5|DUSP5-DT|ELOVL3|ENTPD1|ENTPD1-AS1|ENTPD7|ERLIN1|EXOSC1|FBXL15|FBXW4|FGF8|FHIP2A|FRA10B|FRAT1|FRAT2|GBF1|GFRA1|GOLGA7B|GOLGA7B-DT|GOT1|GOT1-DT|GPAM|GSTO1|GSTO2|HABP2|HEAT2|HIF1AN|HOGA1|HPS1|HPS1-AS1|HPS6|HPSE2|HSPA12A|HSPA12A-AS1|INA|ITPRIP|ITPRIP-AS1|KAZALD1|KCNIP2|KCNIP2-AS1|LBX1|LBX1-AS1|LCOR|LDB1|LINC01435|LINC01475|LINC01514|LINC02620|LINC02624|LINC02626|LINC02627|LINC02661|LINC02681|LOC101927692|LOC102723665|LOC103344931|LOC105378479|LOC107984265|LOC108281165|LOC109136576|LOC110120845|LOC110120850|LOC110120886|LOC110120887|LOC110121311|LOC110121472|LOC110121505|LOC110408762|LOC111501773|LOC111832675|LOC111875816|LOC111875817|LOC111875818|LOC111875819|LOC111875820|LOC111875821|LOC111875822|LOC111875823|LOC111875824|LOC111875825|LOC111875826|LOC111982883|LOC111982884|LOC111982885|LOC111982886|LOC111982887|LOC111982888|LOC113939913|LOC113939914|LOC116216118|LOC116216119|LOC116216120|LOC116216121|LOC121366075|LOC121366076|LOC121366077|LOC121366078|LOC121366079|LOC121366080|LOC121366081|LOC121366082|LOC121815958|LOC121815959|LOC121815960|LOC121815961|LOC121815962|LOC121815963|LOC121815964|LOC121815965|LOC121815966|LOC121815967|LOC121815968|LOC121815969|LOC644215|LOXL4|LZTS2|MARVELD1|MFSD13A|MIR1287|MIR1307|MIR146B|MIR2110|MIR3085|MIR3157|MIR3158-1|MIR3158-2|MIR4295|MIR4482|MIR4483|MIR4680|MIR4685|MIR548E|MIR607|MIR608|MIR609|MIR6507|MIR6715A|MIR6715B|MIR936|MMS19|MORN4|MRPL43|MXI1|NDUFB8|NEURL1|NEURL1-AS1|NFKB2|NHLRC2|NKX2-3|NOLC1|NPM3|NRAP|NT5C2|OGA|OLMALINC|OPALIN|PAX2|PCGF6|PDCD11|PDCD4|PDCD4-AS1|PDLIM1|PDZD7|PGAM1|PI4K2A|PIK3AP1|PITX3|PKD2L1|PLEKHS1|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|POLL|PPRC1|PSD|PYROXD2|R3HCC1L|RBM20|RPEL1|RRP12|SCD|SEC31B|SEMA4G|SFR1|SFRP5|SFXN2|SFXN3|SH3PXD2A|SH3PXD2A-AS1|SHOC2|SLC25A28|SLF2|SLIT1|SLIT1-AS1|SLK|SMC3|SMNDC1|SNORA12|SNORA87|SNORD158|SORBS1|SORCS1|SORCS3|SORCS3-AS1|STN1|SUFU|TAF5|TCF7L2|TCTN3|TDRD1|TECTB|TLL2|TLX1|TLX1NB|TM9SF3|TRIM8|TRUB1|TWNK|UBTD1|VTI1A|VWA2|WBP1L|WNT8B|XPNPEP1|ZDHHC16|ZDHHC6|ZFYVE27|ZNF518A		See cases	Pathogenic(Last reviewed: Aug 12, 2011)	criteria provided, single submitter	VCV000057116	10	96872364 - 118383651	10	95112607 - 116776637	57116	71711		
GRCh37/hg19 10q25.2-26.3(chr10:114544537-135427143)x3	ABLIM1|ABRAXAS2|ACADSB|ADAM12|ADAM8|ADGRA1|ADRB1|AFAP1L2|ARMS2|ATE1|ATRNL1|BAG3|BCCIP|BNIP3|BTBD16|BUB3|C10orf120|C10orf82|C10orf88|C10orf90|CACUL1|CALY|CASC2|CASP7|CCDC172|CCDC186|CFAP46|CHST15|CLRN3|CPXM2|CTBP2|CUZD1|CYP2E1|DCLRE1A|DENND10|DHX32|DMBT1|DOCK1|DPYSL4|EBF3|ECHS1|EDRF1|EEF1AKMT2|EIF3A|EMX2|EMX2OS|ENO4|FAM204A|FAM24A|FAM24B|FAM53B|FANK1|FGFR2|FHIP2A|FOXI2|FUOM|GFRA1|GLRX3|GPR26|GRK5|HABP2|HMX2|HMX3|HSPA12A|HTRA1|IKZF5|INPP5A|INPP5F|INSYN2A|JAKMIP3|KCNK18|KNDC1|LHPP|LINC01166|LINC02870|LRRC27|MCMBP|MGMT|MKI67|MMP21|MTG1|NANOS1|NHLRC2|NKX1-2|NKX6-2|NPS|NRAP|NSMCE4A|OAT|PAOX|PDZD8|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|PPP2R2D|PRAP1|PRDX3|PRLHR|PSTK|PTPRE|PWWP2B|RAB11FIP2|RGS10|SEC23IP|SFXN4|SHTN1|SLC18A2|SPRN|STK32C|SYCE1|TACC2|TCERG1L|TCERG1L-AS1|TCF7L2|TDRD1|TEX36|TIAL1|TRUB1|TUBGCP2|UROS|UTF1|VAX1|VENTX|VTI1A|VWA2|WDR11|ZNF511|ZRANB1		not provided	Pathogenic(Last reviewed: May 31, 2017)	no assertion criteria provided	VCV000687114	10	114544537 - 135427143			687114	674706		
GRCh37/hg19 10q25.1-26.3(chr10:106003533-135427143)x3	ABLIM1|ABRAXAS2|ACADSB|ACSL5|ADAM12|ADAM8|ADD3|ADGRA1|ADRA2A|ADRB1|AFAP1L2|ARMS2|ATE1|ATRNL1|BAG3|BBIP1|BCCIP|BNIP3|BTBD16|BUB3|C10orf120|C10orf82|C10orf88|C10orf90|CACUL1|CALY|CASC2|CASP7|CCDC172|CCDC186|CFAP46|CFAP58|CHST15|CLRN3|CPXM2|CTBP2|CUZD1|CYP2E1|DCLRE1A|DENND10|DHX32|DMBT1|DOCK1|DPYSL4|DUSP5|EBF3|ECHS1|EDRF1|EEF1AKMT2|EIF3A|EMX2|EMX2OS|ENO4|FAM204A|FAM24A|FAM24B|FAM53B|FANK1|FGFR2|FHIP2A|FOXI2|FUOM|GFRA1|GLRX3|GPAM|GPR26|GRK5|GSTO1|GSTO2|HABP2|HMX2|HMX3|HSPA12A|HTRA1|IKZF5|INPP5A|INPP5F|INSYN2A|ITPRIP|JAKMIP3|KCNK18|KNDC1|LHPP|LINC01166|LINC02870|LRRC27|MCMBP|MGMT|MKI67|MMP21|MTG1|MXI1|NANOS1|NHLRC2|NKX1-2|NKX6-2|NPS|NRAP|NSMCE4A|OAT|PAOX|PDCD4|PDZD8|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|PPP2R2D|PRAP1|PRDX3|PRLHR|PSTK|PTPRE|PWWP2B|RAB11FIP2|RBM20|RGS10|SEC23IP|SFXN4|SHOC2|SHTN1|SLC18A2|SMC3|SMNDC1|SORCS1|SORCS3|SPRN|STK32C|SYCE1|TACC2|TCERG1L|TCERG1L-AS1|TCF7L2|TDRD1|TECTB|TEX36|TIAL1|TRUB1|TUBGCP2|UROS|UTF1|VAX1|VENTX|VTI1A|VWA2|WDR11|XPNPEP1|ZDHHC6|ZNF511|ZRANB1		See cases	Pathogenic(Last reviewed: Aug 15, 2014)	no assertion criteria provided	VCV000443838	10	106003533 - 135427143			443838	437500		
GRCh37/hg19 10q24.32-26.3(chr10:103288313-135512075)x3	ABLIM1|ABRAXAS2|ACADSB|ACSL5|ACTR1A|ADAM12|ADAM8|ADD3|ADGRA1|ADRA2A|ADRB1|AFAP1L2|ARL3|ARMH3|ARMS2|AS3MT|ATE1|ATP5MK|ATRNL1|BAG3|BBIP1|BCCIP|BNIP3|BORCS7|BTBD16|BTRC|BUB3|C10orf120|C10orf82|C10orf88|C10orf90|C10orf95|CACUL1|CALHM1|CALHM2|CALHM3|CALY|CASC2|CASP7|CCDC172|CCDC186|CFAP43|CFAP46|CFAP58|CHST15|CLRN3|CNNM2|COL17A1|CPXM2|CTBP2|CUEDC2|CUZD1|CYP17A1|CYP2E1|DCLRE1A|DENND10|DHX32|DMBT1|DOCK1|DPCD|DPYSL4|DUSP5|EBF3|ECHS1|EDRF1|EEF1AKMT2|EIF3A|ELOVL3|EMX2|EMX2OS|ENO4|FAM204A|FAM24A|FAM24B|FAM53B|FANK1|FBXL15|FBXW4|FGF8|FGFR2|FHIP2A|FOXI2|FRG2B|FUOM|GBF1|GFRA1|GLRX3|GPAM|GPR26|GRK5|GSTO1|GSTO2|HABP2|HMX2|HMX3|HPS6|HSPA12A|HTRA1|IKZF5|INA|INPP5A|INPP5F|INSYN2A|ITPRIP|JAKMIP3|KCNIP2|KCNK18|KNDC1|LDB1|LHPP|LINC01166|LINC02870|LRRC27|MCMBP|MFSD13A|MGMT|MIR146B|MKI67|MMP21|MTG1|MXI1|NANOS1|NEURL1|NFKB2|NHLRC2|NKX1-2|NKX6-2|NOLC1|NPM3|NPS|NRAP|NSMCE4A|NT5C2|OAT|OGA|PAOX|PCGF6|PDCD11|PDCD4|PDZD8|PITX3|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|POLL|PPP2R2D|PPRC1|PRAP1|PRDX3|PRLHR|PSD|PSTK|PTPRE|PWWP2B|RAB11FIP2|RBM20|RGS10|SEC23IP|SFR1|SFXN2|SFXN4|SH3PXD2A|SHOC2|SHTN1|SLC18A2|SLK|SMC3|SMNDC1|SORCS1|SORCS3|SPRN|STK32C|STN1|SUFU|SYCE1|TACC2|TAF5|TCERG1L|TCERG1L-AS1|TCF7L2|TDRD1|TECTB|TEX36|TIAL1|TRIM8|TRUB1|TUBGCP2|UROS|UTF1|VAX1|VENTX|VTI1A|VWA2|WBP1L|WDR11|XPNPEP1|ZDHHC6|ZNF511|ZRANB1		See cases	Pathogenic(Last reviewed: Jan 20, 2016)	criteria provided, single submitter	VCV000253479	10	103288313 - 135512075			253479	247927		
GRCh38/hg38 10q24.31-26.3(chr10:100194215-132432797)x3	ABLIM1|ABRAXAS2|ACADSB|ACSL5|ACTR1A|ADAM12|ADD3|ADD3-AS1|ADRA2A|ADRB1|AFAP1L2|ARL3|ARMH3|ARMS2|AS-PTPRE|AS3MT|ATE1|ATE1-AS1|ATP5MK|ATRNL1|BAG3|BBIP1|BCCIP|BLOC1S2|BNIP3|BORCS7|BORCS7-ASMT|BTBD16|BTRC|BUB3|C10orf120|C10orf143|C10orf82|C10orf88|C10orf90|C10orf95|C10orf95-AS1|CACUL1|CALHM1|CALHM2|CALHM3|CASC2|CASP7|CCDC172|CCDC186|CFAP43|CFAP58|CFAP58-DT|CHST15|CHUK|CLRN3|CNNM2|COL17A1|CPXM2|CTBP2|CUEDC2|CUZD1|CWF19L1|CYP17A1|CYP17A1-AS1|DCLRE1A|DENND10|DHX32|DMBT1|DOCK1|DPCD|DPYSL4|DUSP5|DUSP5-DT|EBF3|EDRF1|EDRF1-AS1|EDRF1-DT|EEF1AKMT2|EIF3A|ELOVL3|EMX2|EMX2OS|ENO4|FAM204A|FAM24A|FAM24B|FAM24B-CUZD1|FAM53B|FAM53B-AS1|FANK1|FANK1-AS1|FBXL15|FBXW4|FGF8|FGFR2|FHIP2A|FOXI2|FRA10B|GBF1|GFRA1|GLRX3|GPAM|GPR26|GRK5|GRK5-IT1|GSTO1|GSTO2|HABP2|HEAT2|HIF1AN|HMX2|HMX3|HPS6|HSPA12A|HSPA12A-AS1|HTRA1|IKZF5|INA|INPP5F|INSYN2A|ITPRIP|ITPRIP-AS1|JAKMIP3|JAKMIP3-AS1|KAZALD1|KCNIP2|KCNIP2-AS1|KCNK18|LBX1|LBX1-AS1|LDB1|LHPP|LINC00601|LINC00867|LINC01153|LINC01163|LINC01164|LINC01435|LINC01514|LINC01561|LINC02620|LINC02624|LINC02626|LINC02627|LINC02641|LINC02661|LINC02667|LINC02674|LINC02681|LOC101927692|LOC103344931|LOC105378479|LOC107984265|LOC109136576|LOC110120845|LOC110120846|LOC110120850|LOC110120851|LOC110120852|LOC110120886|LOC110120887|LOC110120892|LOC110120898|LOC110120916|LOC110120919|LOC110120924|LOC110120928|LOC110120938|LOC110120952|LOC110121311|LOC110121334|LOC110121344|LOC110121396|LOC110121472|LOC110408762|LOC111501773|LOC111818958|LOC111818962|LOC111818963|LOC111875816|LOC111875817|LOC111875818|LOC111875819|LOC111875820|LOC111875821|LOC111875822|LOC111875823|LOC111875824|LOC111875825|LOC111875826|LOC111875827|LOC111875828|LOC111875829|LOC111875830|LOC111875831|LOC111875832|LOC111875833|LOC111875834|LOC111875835|LOC112577516|LOC113939913|LOC113939914|LOC113939915|LOC116216120|LOC116216121|LOC116216122|LOC116216123|LOC121366077|LOC121366078|LOC121366079|LOC121366080|LOC121366081|LOC121366082|LOC121366083|LOC121366084|LOC121366085|LOC121366086|LOC121366087|LOC121366088|LOC121366089|LOC121366090|LOC121366091|LOC121366092|LOC121366093|LOC121815961|LOC121815962|LOC121815963|LOC121815964|LOC121815965|LOC121815966|LOC121815967|LOC121815968|LOC121815969|LOC121815970|LOC121815971|LOC121815972|LOC121815973|LOC121815974|LOC121815975|LOC121815976|LOC121815977|LOC283038|LOC728158|LRRC27|LZTS2|MCMBP|MFSD13A|MGMT|MIR1307|MIR146B|MIR2110|MIR3158-1|MIR3158-2|MIR3663|MIR3663HG|MIR378C|MIR3941|MIR4295|MIR4296|MIR4297|MIR4482|MIR4483|MIR4484|MIR4680|MIR4681|MIR4682|MIR548E|MIR608|MIR609|MIR6715A|MIR6715B|MIR936|MIR9851|MKI67|MMP21|MRPL43|MXI1|NANOS1|NDUFB8|NEURL1|NEURL1-AS1|NFKB2|NHLRC2|NKX1-2|NOLC1|NPM3|NPS|NRAP|NSMCE4A|NT5C2|OAT|OGA|OLMALINC|PAX2|PCGF6|PDCD11|PDCD4|PDCD4-AS1|PDZD7|PDZD8|PITX3|PKD2L1|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|POLL|PPP2R2D|PPRC1|PRDX3|PRLHR|PSD|PSTK|PTPRE|PWWP2B|RAB11FIP2|RBM20|RGS10|RPEL1|SCD|SEC23IP|SEC31B|SEMA4G|SFR1|SFXN2|SFXN3|SFXN4|SH3PXD2A|SH3PXD2A-AS1|SHOC2|SHTN1|SLC18A2|SLC18A2-AS1|SLF2|SLK|SMC3|SMNDC1|SNORA12|SNORA19|SNORA87|SNORD158|SORCS1|SORCS3|SORCS3-AS1|STK32C|STN1|SUFU|TACC2|TAF5|TCERG1L|TCERG1L-AS1|TCF7L2|TDRD1|TECTB|TEX36|TEX36-AS1|TIAL1|TLX1|TLX1NB|TRIM8|TRUB1|TWNK|UROS|VAX1|VTI1A|VWA2|WBP1L|WDR11|WDR11-DT|WNT8B|XPNPEP1|ZDHHC6|ZRANB1		See cases	Pathogenic(Last reviewed: Aug 12, 2011)	criteria provided, single submitter	VCV000059707	10	101953972 - 134246301	10	100194215 - 132432797	59707	74302		
GRCh38/hg38 10q25.1-26.11(chr10:107191100-118761489)x1	ABLIM1|ACSL5|ADD3|ADD3-AS1|ADRA2A|ADRB1|AFAP1L2|ATRNL1|BBIP1|C10orf82|CACUL1|CASC2|CASP7|CCDC172|CCDC186|DCLRE1A|DUSP5|DUSP5-DT|EMX2|EMX2OS|ENO4|FAM204A|FHIP2A|FRA10B|GFRA1|GPAM|HABP2|HEAT2|HSPA12A|HSPA12A-AS1|KCNK18|LINC00867|LINC01435|LINC02626|LINC02661|LINC02674|LOC101927692|LOC103344931|LOC105378479|LOC110120919|LOC110120938|LOC110120952|LOC110121334|LOC110121396|LOC110121472|LOC111875823|LOC111875824|LOC111875825|LOC111875826|LOC111875827|LOC111875828|LOC113939914|LOC116216121|LOC116216122|LOC116216123|LOC121366081|LOC121366082|LOC121366083|LOC121366084|LOC121815968|LOC121815969|LOC121815970|MIR2110|MIR3663|MIR3663HG|MIR4295|MIR4483|MIR4680|MIR548E|MIR6715A|MIR6715B|MIR9851|MXI1|NHLRC2|NRAP|PDCD4|PDCD4-AS1|PDZD8|PLEKHS1|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|PRLHR|RAB11FIP2|RBM20|SHOC2|SHTN1|SLC18A2|SLC18A2-AS1|SMC3|SMNDC1|SNORA87|SNORD158|TCF7L2|TDRD1|TECTB|TRUB1|VAX1|VTI1A|VWA2|XPNPEP1|ZDHHC6		See cases	Pathogenic(Last reviewed: Aug 12, 2011)	criteria provided, single submitter	VCV000058782	10	108950858 - 120521001	10	107191100 - 118761489	58782	73377		
GRCh38/hg38 10q25.3(chr10:114584882-117015907)x1	ABLIM1|ATRNL1|C10orf82|CCDC172|ENO4|FHIP2A|GFRA1|HSPA12A|HSPA12A-AS1|LINC02626|LOC101927692|LOC111875826|LOC111875827|LOC113939914|LOC121815969|MIR9851|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|SHTN1|SNORD158|TRUB1		See cases	Pathogenic(Last reviewed: Aug 12, 2011)	criteria provided, single submitter	VCV000057171	10	116344641 - 118775418	10	114584882 - 117015907	57171	71766		
GRCh37/hg19 10q25.1-26.3(chr10:110022170-135439095)	ACADSB|NPS|EDRF1|ADRB1|PRDX3|CLRN3|ZNF511|KCNK18|INPP5A|DUSP5|LINC01166|EIF3A|SMNDC1|GLRX3|GPAM|FUOM|LINC02870|FAM204A|GRK5|TECTB|BAG3|CCDC172|TCERG1L-AS1|PAOX|SFXN4|PLPP4|MMP21|CUZD1|TUBGCP2|NKX6-2|FANK1|SHTN1|C10orf90|KNDC1|ARMS2|MCMBP|BBIP1|NRAP|FOXI2|CTBP2|STK32C|NSMCE4A|SMC3|C10orf82|PRAP1|FGFR2|DCLRE1A|ZDHHC6|PRLHR|DENND10|RGS10|EMX2OS|LRRC27|ENO4|BTBD16|RAB11FIP2|SPRN|VWA2|HMX3|TDRD1|TCERG1L|EMX2|CALY|PNLIPRP3|HMX2|PDCD4|BCCIP|ADRA2A|XPNPEP1|VENTX|PNLIP|MKI67|DPYSL4|FRG2B|TCF7L2|NKX1-2|CHST15|IKZF5|DMBT1|FAM24A|PDZD8|PPP2R2D|SEC23IP|FAM53B|MXI1|ABRAXAS2|WDR11|PNLIPRP1|MTG1|INSYN2A|SHOC2|JAKMIP3|ATRNL1|DHX32|PNLIPRP2|BNIP3|VTI1A|SLC18A2|VAX1|TACC2|C10orf120|FAM24B|NANOS1|PWWP2B|EBF3|GPR26|INPP5F|CASC2|ABLIM1|CCDC186|HSPA12A|GFRA1|MGMT|FHIP2A|ZRANB1|ADAM8|CACUL1|ADGRA1|TEX36|NHLRC2|C10orf88|SYCE1|PLEKHA1|PSTK|TIAL1|UROS|ADD3|CYP2E1|CASP7|PTPRE|ECHS1|TRUB1|HTRA1|AFAP1L2|ADAM12|ACSL5|ATE1|RBM20|LHPP|DOCK1|PLEKHS1|CPXM2|HABP2|OAT|CFAP46|BUB3|EEF1AKMT2|UTF1		not provided	Pathogenic(Last reviewed: Nov 1, 2018)	criteria provided, single submitter	VCV000625657	10	110022170 - 135439095			625657	613961		
GRCh38/hg38 10q25.1-26.3(chr10:106925303-133620815)x3	ADAM8|ABLIM1|ABRAXAS2|ACADSB|ACSL5|ADAM12|ADD3|ADD3-AS1|ADGRA1|ADGRA1-AS1|ADRA2A|ADRB1|AFAP1L2|ARMS2|AS-PTPRE|ATE1|ATE1-AS1|ATRNL1|BAG3|BBIP1|BCCIP|BNIP3|BTBD16|BUB3|C10orf120|C10orf143|C10orf82|C10orf88|C10orf90|CACUL1|CALY|CASC2|CASP7|CCDC172|CCDC186|CFAP46|CHST15|CLRN3|CPXM2|CTBP2|CUZD1|CYP2E1|DCLRE1A|DENND10|DHX32|DMBT1|DOCK1|DPYSL4|DUSP5|DUSP5-DT|EBF3|ECHS1|EDRF1|EDRF1-AS1|EDRF1-DT|EEF1AKMT2|EIF3A|EMX2|EMX2OS|ENO4|FAM204A|FAM24A|FAM24B|FAM24B-CUZD1|FAM53B|FAM53B-AS1|FANK1|FANK1-AS1|FGFR2|FHIP2A|FOXI2|FRA10B|FUOM|GFRA1|GLRX3|GPAM|GPR26|GRK5|GRK5-IT1|HABP2|HEAT2|HMX2|HMX3|HSPA12A|HSPA12A-AS1|HTRA1|IKZF5|INPP5A|INPP5F|INSYN2A|JAKMIP3|JAKMIP3-AS1|KCNK18|KNDC1|LHPP|LINC00601|LINC00867|LINC01153|LINC01163|LINC01164|LINC01165|LINC01166|LINC01167|LINC01168|LINC01435|LINC01561|LINC02626|LINC02641|LINC02661|LINC02667|LINC02674|LINC02870|LOC101927692|LOC103344931|LOC105378479|LOC107984282|LOC110120846|LOC110120851|LOC110120852|LOC110120892|LOC110120898|LOC110120916|LOC110120919|LOC110120924|LOC110120928|LOC110120938|LOC110120952|LOC110121334|LOC110121344|LOC110121396|LOC110121444|LOC110121472|LOC110599579|LOC110599585|LOC111818958|LOC111818962|LOC111818963|LOC111875823|LOC111875824|LOC111875825|LOC111875826|LOC111875827|LOC111875828|LOC111875829|LOC111875830|LOC111875831|LOC111875832|LOC111875833|LOC111875834|LOC111875835|LOC111946221|LOC112577516|LOC113939914|LOC113939915|LOC116216121|LOC116216122|LOC116216123|LOC121366081|LOC121366082|LOC121366083|LOC121366084|LOC121366085|LOC121366086|LOC121366087|LOC121366088|LOC121366089|LOC121366090|LOC121366091|LOC121366092|LOC121366093|LOC121815968|LOC121815969|LOC121815970|LOC121815971|LOC121815972|LOC121815973|LOC121815974|LOC121815975|LOC121815976|LOC121815977|LOC283038|LOC728158|LRRC27|MCMBP|MGMT|MIR202|MIR202HG|MIR2110|MIR3663|MIR3663HG|MIR378C|MIR3941|MIR3944|MIR4295|MIR4296|MIR4297|MIR4483|MIR4484|MIR4680|MIR4681|MIR4682|MIR548E|MIR6715A|MIR6715B|MIR9851|MKI67|MMP21|MTG1|MXI1|NANOS1|NHLRC2|NKX1-2|NKX6-2|NPS|NRAP|NSMCE4A|OAT|PAOX|PDCD4|PDCD4-AS1|PDZD8|PLEKHA1|PLEKHS1|PLPP4|PNLIP|PNLIPRP1|PNLIPRP2|PNLIPRP3|PPP2R2D|PRAP1|PRDX3|PRLHR|PSTK|PTPRE|PWWP2B|RAB11FIP2|RBM20|RGS10|SCART1|SEC23IP|SFXN4|SHOC2|SHTN1|SLC18A2|SLC18A2-AS1|SMC3|SMNDC1|SNORA19|SNORA87|SNORD158|SORCS1|SPRN|STK32C|SYCE1|TACC2|TCERG1L|TCERG1L-AS1|TCF7L2|TDRD1|TECTB|TEX36|TEX36-AS1|TIAL1|TRUB1|TUBGCP2|UROS|UTF1|VAX1|VENTX|VTI1A|VWA2|WDR11|WDR11-DT|XPNPEP1|ZDHHC6|ZNF511|ZNF511-PRAP1|ZRANB1		See cases	Pathogenic(Last reviewed: Aug 12, 2011)	criteria provided, single submitter	VCV000059727	10	108685061 - 135434319	10	106925303 - 133620815	59727	74322		
